Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2023-08,2,4,S2B4,-0.04667608639768605,-0.04804108639768605,140
2023-08,2,5,S2B5,-0.05719668616296322,-0.05856168616296322,110
2023-08,3,1,S3B1,-0.06367988263462718,-0.06504488263462718,111
2023-08,3,2,S3B2,-0.06179054300659293,-0.06315554300659293,137
2023-08,3,3,S3B3,-0.05344932240582494,-0.054814322405824935,127
2023-08,3,4,S3B4,-0.059491639664998944,-0.06085663966499894,128
2023-08,3,5,S3B5,-0.07679236641811661,-0.07815736641811662,121
2023-08,4,1,S4B1,-0.07381263948910141,-0.07517763948910142,111
2023-08,4,2,S4B2,-0.06342727661647447,-0.06479227661647448,139
2023-08,4,3,S4B3,-0.05385764357318867,-0.055222643573188665,119
2023-08,4,4,S4B4,-0.05913122749568669,-0.060496227495686686,102
2023-08,4,5,S4B5,-0.05781588840617924,-0.05918088840617924,153
2023-08,5,1,S5B1,-0.0603203910002985,-0.061685391000298496,162
2023-08,5,2,S5B2,-0.0636139209119387,-0.0649789209119387,94
2023-08,5,3,S5B3,-0.06734839612811055,-0.06871339612811056,82
2023-08,5,4,S5B4,-0.046827345345758276,-0.048192345345758274,104
2023-08,5,5,S5B5,-0.053601355854125954,-0.05496635585412595,182
2023-09,1,1,S1B1,0.0018144203003885209,0.0005314203003885208,137
2023-09,1,2,S1B2,0.012407287181289252,0.011124287181289253,131
2023-09,1,3,S1B3,0.03908037251276387,0.03779737251276387,140
2023-09,1,4,S1B4,0.002673631542510989,0.0013906315425109889,148
2023-09,1,5,S1B5,-0.01015632143232586,-0.01143932143232586,55
2023-09,2,1,S2B1,-0.012611766410862073,-0.013894766410862073,98
2023-09,2,2,S2B2,0.013187051439881362,0.011904051439881363,123
2023-09,2,3,S2B3,0.014152244169090264,0.012869244169090265,153
2023-09,2,4,S2B4,0.019436665999310945,0.018153665999310946,140
2023-09,2,5,S2B5,-0.00789686707750702,-0.00917986707750702,110
2023-09,3,1,S3B1,-0.014200970575769533,-0.015483970575769532,111
2023-09,3,2,S3B2,0.004274776502265153,0.002991776502265153,137
2023-09,3,3,S3B3,0.005803727322280784,0.004520727322280784,127
2023-09,3,4,S3B4,0.012392876277594863,0.011109876277594863,128
2023-09,3,5,S3B5,-0.0027883371805158897,-0.00407133718051589,120
