Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2013-11,0.08346795169798574,0.08422537226088012,0.08707474556441086,0.0479318352947085,0.057790892663084785,0.0251373519336036,280,422,278,313,364,319
2013-12,-0.0467116546084945,-0.03311028408084928,-0.024121710096019423,-0.03053497021647016,-0.04169309358352469,-0.046544330067442075,280,423,276,314,367,319
2014-01,0.02085513476870291,0.032621880896592834,0.015979841479247046,-0.010163760452188577,-0.029828421870404926,-0.044436796990726585,277,423,278,312,369,317
2014-02,0.04803130558930307,0.05463719991211719,0.061930537541183585,-0.0008658395046614134,0.003945193855516458,0.010967206694128984,277,418,276,309,369,318
2014-03,-0.014077828135623723,-0.02914260566641389,-0.013574190594563598,-0.05318945832924189,-0.038206452454026735,0.002166015669912563,278,413,281,306,366,319
2014-04,-0.010101126623330502,-0.012989944458613527,-0.015157526660734656,-0.0060861926167462815,-0.01495118880598448,0.0003897744810752095,270,412,275,307,364,317
2014-05,0.028275934449004544,0.0333438750733814,0.017722627876703187,0.004529823293663759,0.016035992605731415,0.010174659911743222,263,407,272,299,362,313
2014-06,0.04232437909752246,0.05000639339983911,0.05301910939591821,0.026354458254515656,0.012658121595861304,0.018427955399119983,266,400,275,299,364,312
2014-07,0.09314721706572278,0.09645605618949236,0.10639463218923649,0.050361798331570944,0.08418459729160968,0.09815009704576046,251,441,268,319,337,314
2014-08,0.06873493296082395,0.05839211812418694,0.05689169880449857,0.04177137760812039,0.026285741197073224,-0.007712882218243909,243,433,264,317,332,313
2014-09,0.18189472447888247,0.1620853507267043,0.1594189846175207,0.07304627598576002,0.0937462139500948,0.05072928931979831,241,429,264,318,328,314
2014-10,0.002210764151581654,0.017410898378269344,0.02607747113345935,-0.0031744710096465864,0.006861817134521656,0.03801112012405242,231,414,265,314,321,313
2014-11,0.05010997360931855,0.05693275307630897,0.06705268782372309,0.021295837835119277,0.07643125934976412,0.13310991093900307,231,405,265,315,325,309
2014-12,-0.05452799275988833,-0.06756501569597295,-0.00015537701458156499,0.005652190508654858,0.10735333813245612,0.28832759716586337,235,407,268,319,324,309
2015-01,0.060556770845650705,0.09228433866193962,0.05053786056287628,0.09646681641641901,0.027766544291351905,-0.030428759389132577,225,409,264,312,325,310
2015-02,0.0773440314133718,0.07123072113436045,0.06905155446606887,0.07428034776801497,0.08199171269566034,0.013264442801465031,220,405,258,305,322,306
2015-03,0.22789810747480013,0.2554008707189857,0.22527145910480745,0.1897897961992802,0.17087417487020884,0.11684920302130744,226,408,262,307,324,309
2015-04,0.19278196787032226,0.17956549644509376,0.19233724710600505,0.1316685487299118,0.15145414142644584,0.195469504500432,224,405,262,309,326,310
2015-05,0.316295021843922,0.3595247644791594,0.22813552295019157,0.2269675245540509,0.13614655371109735,-0.02647988877258782,226,407,251,309,322,309
2015-06,-0.10592783932735904,-0.09461285163149326,-0.0676151485485347,-0.14163745492006766,-0.09986211070787358,-0.016542242222521854,214,407,246,300,317,305
2015-07,-0.20075919451856564,-0.21582292239145398,-0.21714036564958147,-0.14806402436966073,-0.16629276387878603,-0.1289121629564151,269,374,256,266,326,280
2015-08,-0.13665333752666428,-0.11627937311935381,-0.12455556209552486,-0.16129184933952934,-0.14596081153369445,-0.12283628062611154,256,354,247,252,321,279
2015-09,-0.04196930493885671,-0.03795039887607613,-0.055115978370468506,-0.04983081998213738,-0.06939397130840246,-0.04753492636034632,247,350,240,244,320,272
2015-10,0.2730001993974961,0.23731128014508096,0.20404430422874353,0.1810624986867117,0.16985337285873608,0.08510713739589398,241,352,236,251,319,273
2015-11,0.12033139618880358,0.10544857631166597,0.11150126430667298,0.04370097592631809,0.023016912384266383,0.007591460005831169,246,354,243,260,326,278
2015-12,0.1268123787414102,0.09200683780911433,0.0915172111129922,0.046772976374163645,0.038936784830278015,0.021255049924474426,254,363,247,267,339,283
2016-01,-0.3103468755796613,-0.30171514866366445,-0.2931036931131964,-0.28489214933093676,-0.2723232728438549,-0.1873894858769812,255,367,247,265,340,283
2016-02,-0.021340162866056674,-0.005422389847129056,-0.00708163464984015,-0.03003210150058824,-0.01406519824083762,-0.014712377860743338,251,364,253,261,337,283
2016-03,0.20037526002399036,0.19766802672113623,0.18229447794831066,0.16613652398605783,0.16446799695902828,0.08871673122414679,253,363,256,265,338,282
2016-04,0.005320244110939059,0.006474163832362842,-0.002857578388694521,-0.03915534752322215,-0.037746430462114226,-0.013226793178836448,246,365,255,262,340,284
2016-05,-0.02515806394134792,-0.019653165317352422,-0.03482148454677341,0.0023382887737549395,-0.002143865790836474,-0.0026955712137564022,238,363,247,263,340,284
2016-06,0.06174535597932833,0.06763180241014748,0.04579442379862508,0.03989831815475451,0.02540827303257504,-0.0031668778390835824,242,354,249,264,342,286
2016-07,-0.011867140648254688,0.0023338544888211097,0.017415859142460258,-0.011456052219340263,0.0118033181780047,0.03711775012287966,307,408,269,283,380,326
2016-08,0.055951471406272824,0.050993607532344096,0.06534598074623157,0.021931274531191643,0.03429799843486189,0.03956381429749884,305,407,262,278,376,326
2016-09,0.0003025146780691537,0.002429876816439223,0.012949928590267591,-0.02677904923209931,-0.027410600002294533,-0.02498494964692024,302,400,259,277,376,323
2016-10,0.04962229045648993,0.04539104575103564,0.050963596342518236,0.020358851924560654,0.023663829714935504,0.029135050420528007,297,392,260,276,371,322
2016-11,0.02444073316951306,0.032171972780646346,0.028293442607209604,0.010159543851529515,0.014683172702210494,0.06519691277276697,298,400,261,280,369,319
2016-12,-0.027818300191286734,-0.04038334005438943,-0.006406916414680359,-0.06586742205881824,-0.04644031390933881,-0.04530401967103361,300,398,264,272,369,319
2017-01,-0.030315600516290214,-0.02571288092213774,-0.0011157156211986608,-0.02004913544916991,-0.00680338035737609,0.041417896198428894,300,400,264,264,369,320
2017-02,0.039013755054814386,0.03902396869193257,0.05140191018360756,0.032982725769344065,0.049171409568319675,0.015271256142028925,298,394,262,261,371,316
2017-03,-0.027758710436829273,-0.02766412227594686,-0.013365384355461238,-0.0026058050886481085,-0.005850001663599066,-0.005941546148575282,298,397,263,261,370,320
2017-04,-0.08668207752927827,-0.06386856093743863,-0.050817371781878,-0.03537151951676541,-0.025692855240601224,-0.003147691552996417,296,402,261,265,370,318
2017-05,-0.09685806884999075,-0.08653604694234016,-0.07717921949328582,-0.05107124127491829,-0.03077610826617827,0.019169507908247035,294,399,258,261,371,319
2017-06,0.02936709422763235,0.03857837445280372,0.0628450859528251,0.07241402413652487,0.054911404225901836,0.0302266465752605,291,398,259,258,369,317
2017-07,-0.016698246407160718,0.0024824291126682276,0.0551494834431868,-0.017276582098664377,0.015863017658625727,0.051699369758532635,415,445,221,232,419,431
2017-08,0.02741658066789999,0.03111412323735154,0.014413992705134356,0.03433256912820625,0.027737944600886348,0.01921468963241848,402,439,221,224,414,429
2017-09,0.00805181009972311,0.02079632661478107,0.0002837067965174522,0.03477494007992028,0.020504855058725697,-0.004890009770619715,403,440,221,228,415,432
2017-10,-0.02525700000922088,-0.032628123075062195,-0.02969979068594745,0.049224029760588775,0.01911321191588307,0.016654688390724454,399,443,221,224,413,429
2017-11,-0.08413557450233432,-0.03307814945340632,-0.058388999806102314,-0.05175824594157104,-0.04204387729329979,-0.003329129479002373,398,446,220,224,411,426
2017-12,-0.025451899517757073,-0.018194634768767304,-0.028047703733643053,0.023993147595731627,0.009302438975814344,-0.0025958666778732437,398,440,219,226,410,420
2018-01,-0.044433089596742255,-0.032210960217553035,-0.009241965749736923,-0.017056710396684095,0.009763936977542754,0.0829238353759869,401,439,218,229,406,421
2018-02,-0.07300354609928499,-0.050089679291568295,-0.05562487306261826,-0.014738427032758397,-0.03236425711965671,-0.07356616899727447,397,436,214,225,404,417
