form_year,Stkcd,size_june,size_dec_prev,book_equity,be_me,size2,bm3,leg_2x3,size5,bm5
1994,600618,2524322.28,7042539.0,2411411001.38,342.40648172200395,2,3,BH,5,4
1994,600619,809410.05,1402977.42,528179409.12,376.4703562513501,2,3,BH,4,5
1994,600620,474265.59,975944.17,169276439.65,173.44889682572725,1,1,SL,2,1
1994,600621,388731.53,694875.4,147738482.61,212.61147338069532,1,2,SM,2,2
1994,600622,1230009.02,2130734.38,345777595.25,162.28094805979524,2,1,BL,4,1
1994,600623,3261218.96,6745728.59,2168706093.17,321.4932329748535,2,3,BH,5,4
1994,600624,493557.46,822595.76,176538149.27,214.6110615376865,1,2,SM,2,2
1994,600625,711292.9,1034190.0,257426248.45,248.91581667778647,2,2,BM,3,3
1994,600626,620625.47,1170156.68,293785090.41,251.0647466542686,2,2,BM,3,3
1994,600627,1336350.94,2891973.93,771578308.19,266.799883700888,2,2,BM,5,3
1994,600628,466338.9,854430.0,154769093.56,181.13724185714455,1,1,SL,2,2
1994,600629,329012.99,415389.71,58819950.22,141.60184714253032,1,1,SL,1,1
1994,600630,533854.92,1049313.99,357041288.17,340.2616295719073,1,3,SH,3,4
1994,600631,1423355.96,2935461.99,840527359.81,286.33563053221474,2,2,BM,5,4
1994,600632,1232495.42,2295478.58,735741303.35,320.51760785761724,2,3,BH,4,4
1994,600633,724314.72,1250963.4,361715720.98,289.14972330925116,2,2,BM,3,4
1994,600634,226791.09,393030.1,64858091.85,165.02067360744127,1,1,SL,1,1
1994,600635,509581.8,580500.0,102875968.33,177.21958368647716,1,1,SL,3,1
1994,600636,412920.0,809100.0,142944576.9,176.67108750463478,1,1,SL,2,1
1994,600637,1779747.97,2847596.75,992453512.2,348.52319318035467,2,3,BH,5,5
1994,600638,1469778.02,2282158.22,436259630.23,191.16099243548504,2,1,BL,5,2
1994,600639,3546600.0,6015000.0,822193100.49,136.69045727182046,2,1,BL,5,1
1994,600640,2286778.5,2600842.5,510001483.37,196.09087569508728,2,1,BL,5,2
1994,600641,1201392.0,1631520.0,166010177.65,101.75184959424341,2,1,BL,4,1
1994,600642,10307740.44,19654386.21,3573473444.03,181.8155706237137,2,1,BL,5,2
1994,600643,1197000.0,3058500.0,538750455.06,176.14858756253062,2,1,BL,4,1
1994,600644,288723.6,506639.0,148031238.36,292.1828725384347,1,2,SM,1,4
1994,600645,632917.34,719069.55,137284017.17,190.91896906217204,2,1,BL,3,2
1994,600646,478258.95,738831.7,92550611.39,125.26616195542233,1,1,SL,2,1
1994,600647,262232.08,430780.0,36392890.99,84.48138490644877,1,1,SL,1,1
1994,600648,7539000.0,7078400.0,773746621.7,109.31094904215642,2,1,BL,5,1
1994,600649,2745535.82,4830109.32,1656042561.71,342.8581947105909,2,3,BH,5,5
1994,600650,1389733.72,2913958.32,1348194604.15,462.6677721835089,2,3,BH,5,5
1994,600651,459160.0,440000.0,42387139.38,96.33440768181819,1,1,SL,2,1
1994,600652,591926.4,473580.0,52699245.06,111.27844305080451,1,1,SL,3,1
1994,600653,611442.0,888300.0,160762400.71,180.97759845772825,2,1,BL,3,2
1994,600654,614603.64,1083810.0,248705480.82,229.4733217261328,2,2,BM,3,2
1994,600655,1621282.28,3059897.94,744869350.07,243.42947532099717,2,2,BM,5,3
1994,600656,250522.27,460772.69,95829325.38,207.97527166811903,1,2,SM,1,2
1994,600657,359462.17,435457.89,128043066.97,294.04236301700723,1,2,SM,1,4
1994,600658,522195.26,598085.22,129904961.08,217.20142336906437,1,2,SM,3,2
1994,600659,414973.52,1032272.45,162417445.01,157.33970717711202,1,1,SL,2,1
1994,600660,736961.94,1478648.0,228808206.44,154.7414979359523,2,1,BL,4,1
1994,600661,510879.09,911727.18,252895705.08,277.38089927296016,1,2,SM,3,3
1994,600662,550800.0,884520.0,128024134.28,144.73854099398545,1,1,SL,3,1
1994,600663,10408600.0,15209750.0,987982479.14,64.95718069922253,2,1,BL,5,1
1994,600664,803395.2,1819008.0,592096798.82,325.5053297291711,2,3,BH,4,4
1994,600665,1036947.02,3040000.0,626061864.47,205.94140278618423,2,2,BM,4,2
1994,600666,573300.47,502682.0,121471715.71,241.6472356479842,1,2,SM,3,3
1994,600667,515218.67,1127524.33,504123381.26,447.1064329583025,1,3,SH,3,5
1994,600668,361174.99,931133.98,167132564.95,179.4935729335106,1,1,SL,1,1
1994,600669,224891.81,604750.49,83121456.86,137.44752296108103,1,1,SL,1,1
1994,600670,392933.53,759897.6,306824789.41,403.77123103165485,1,3,SH,2,5
1994,600671,255024.0,516600.0,86476580.94,167.39562706155633,1,1,SL,1,1
1994,600672,272854.49,655456.22,164385830.48,250.79604932271448,1,2,SM,1,3
1994,600673,277993.27,671100.37,148395933.24,221.12330714405658,1,2,SM,1,2
1994,600674,445458.29,1231276.13,233947107.57,190.00377077885852,1,1,SL,2,2
1994,600675,728917.71,1414587.88,236630505.13,167.2787590474761,2,1,BL,4,1
1994,600676,331466.37,588708.67,114725338.91,194.8762516271418,1,1,SL,1,2
1994,600677,401783.0,765559.5,190089169.33,248.30097377147044,1,2,SM,2,3
1994,600678,1260356.0,3032532.0,375407683.57,123.79347804738747,2,1,BL,4,1
1994,600679,1704413.17,2993422.83,1076579902.61,359.6484572177863,2,3,BH,5,5
1994,600680,788048.35,1285657.92,194090143.17,150.9656185760517,2,1,BL,4,1
1994,600681,384712.1,684746.4,240638688.15,351.427460078651,1,3,SH,2,5
1994,600682,500810.94,976183.86,262557615.08,268.96328226528965,1,2,SM,2,3
1994,600683,470496.0,991680.0,421620218.98,425.1575296264924,1,3,SH,2,5
1994,600684,743115.9,1600626.6,384874157.45,240.45218132074024,2,2,BM,4,3
1994,600685,795979.81,2354211.47,1200136319.18,509.78271683469455,2,3,BH,4,5
1994,600686,562298.35,917522.76,100361061.92,109.38264018649521,1,1,SL,3,1
1994,600687,464278.4,621872.9,77307804.28,124.31447692928893,1,1,SL,2,1
1994,600688,7962500.0,20429500.0,7790013000.0,381.3119753297927,2,3,BH,5,5
1994,600689,379553.31,669212.42,242368052.44,362.1690889120079,1,3,SH,1,5
1994,600690,740350.0,1531700.0,568176078.39,370.94475314356595,2,3,BH,4,5
1994,600691,291577.0,502287.37,116927018.47,232.78908739035185,1,2,SM,1,3
1994,600692,361140.48,498574.5,86114117.14,172.7206608841808,1,1,SL,1,1
1994,600693,266764.96,647584.0,129797267.96,200.43309896476748,1,2,SM,1,2
1994,600694,493998.75,721805.0,241605230.88,334.7236869791703,1,3,SH,2,4
1994,600695,3624293.59,5457111.26,882955589.3,161.79908146127846,2,1,BL,5,1
1995,000001,3952899.41,4517599.33,1655608205.28,366.479646454171,2,2,BM,5,2
1995,000002,905265.55,1122230.02,1089371037.68,970.7199221778081,2,3,BH,3,5
1995,000003,703358.78,927085.11,982833814.19,1060.1333184932719,1,3,SH,3,5
1995,000004,347358.38,466452.68,252564774.88,541.4585138196654,1,2,SM,1,4
1995,000005,1020600.0,1283100.0,491864467.25,383.3407117527862,2,2,BM,4,2
1995,000006,601944.49,762602.12,347862974.56,456.1526455761754,1,2,SM,2,3
1995,000007,293078.36,414580.69,268089997.68,646.6533636190339,1,3,SH,1,5
1995,000008,230745.72,305944.1,161875190.48,529.1005464070071,1,2,SM,1,4
1995,000009,2501331.49,3199473.9,1947745191.2,608.7704579180971,2,3,BH,5,4
1995,000011,1444989.34,2135726.01,1261841066.69,590.8253496851875,2,3,BH,4,4
1995,000012,1257636.52,1313978.63,931453415.95,708.8801862401675,2,3,BH,4,5
1995,000013,967377.05,1001201.42,687539067.71,686.7140357331895,2,3,BH,3,5
1995,000014,403051.79,577325.07,221497762.11,383.6621231605273,1,2,SM,1,2
1995,000015,469745.77,579398.24,362794640.71,626.1576505824387,1,3,SH,1,4
1995,000016,1234788.86,1508101.81,764512274.75,506.9367795202102,2,2,BM,4,3
1995,000017,922491.36,1188208.98,1292893535.18,1088.1028143550977,2,3,BH,3,5
1995,000018,624507.05,838290.58,323270343.53,385.6304141339629,1,2,SM,2,2
1995,000019,373686.4,476484.51,197239773.28,413.9479230500064,1,2,SM,1,3
1995,000020,585556.62,725418.87,333771289.01,460.1083633377224,1,2,SM,2,3
1995,000021,982095.63,995367.19,437007797.95,439.04179516907726,2,2,BM,3,3
1995,000022,981999.9,1207919.02,749936971.49,620.850370822044,2,3,BH,3,4
1995,000023,451440.0,465120.0,237149590.29,509.8675401831785,1,2,SM,1,3
1995,000024,1180800.0,935040.0,614479605.47,657.1693248096338,2,3,BH,4,5
1995,000025,722649.6,874229.76,474372072.11,542.6171629183614,1,2,SM,3,4
1995,000026,688620.0,634110.0,248436360.36,391.78748223494347,1,2,SM,2,2
1995,000027,1034880.0,1291840.0,813021396.29,629.3514648021427,2,3,BH,4,4
1995,000028,488070.0,449735.0,322909678.02,717.9998844208255,1,3,SH,1,5
1995,000029,2526370.0,2793868.0,2266572322.09,811.2667893007115,2,3,BH,5,5
1995,000030,995280.0,1160406.0,722678477.14,622.7807139397762,2,3,BH,4,4
1995,000031,838200.0,1078000.0,875478896.77,812.1325573005565,2,3,BH,3,5
1995,000032,434058.0,513734.4,262240363.13,510.4590292766067,1,2,SM,1,4
1995,000033,1205698.43,894600.0,474026754.06,529.8756472837022,2,2,BM,4,4
1995,000034,807024.0,1169600.0,631220256.31,539.6890016330369,2,2,BM,3,4
1995,000035,501475.52,510552.0,173666245.68,340.1538837963616,1,1,SL,1,2
1995,000036,390274.5,451143.0,221713243.76,491.44781978219766,1,2,SM,1,3
1995,000037,1375660.0,1437150.0,631169345.43,439.1812583446404,2,2,BM,4,3
1995,000038,550620.0,660060.0,160741281.6,243.52525770384509,1,1,SL,2,1
1995,000039,1030560.0,865640.0,433591206.79,500.8909093734116,2,2,BM,4,3
1995,000040,793864.82,908235.18,429729677.36,473.14802027377976,2,2,BM,3,3
1995,000042,1078257.6,1069137.0,433527076.31,405.49253866436203,2,2,BM,4,3
1995,000043,819000.0,819000.0,363819638.17,444.22422242979246,2,2,BM,3,3
1995,000045,610584.0,765700.0,398324205.34,520.2092272952854,1,2,SM,2,4
1995,000046,490370.4,560404.0,224086039.72,399.8651682000842,1,2,SM,1,3
1995,000047,654500.0,637000.0,204154070.07,320.4930456357928,1,1,SL,2,2
1995,000048,583740.0,744372.0,293756792.12,394.63707947101716,1,2,SM,2,2
1995,000501,967958.55,975520.73,907463310.8,930.2347791215057,2,3,BH,3,5
1995,000502,364709.09,539650.85,319188970.38,591.4731170718994,1,3,SH,1,4
1995,000503,547950.0,620100.0,375239376.05,605.1271989195292,1,3,SH,2,4
1995,000504,788281.97,1065500.93,605956712.25,568.7059440201522,2,2,BM,3,4
1995,000505,1135839.36,1628593.2,686574971.97,421.5754873408535,2,2,BM,4,3
1995,000506,558339.87,663089.83,394060797.53,594.2796582025696,1,3,SH,2,4
1995,000507,838343.73,1245440.69,1225558283.9,984.0358467009779,2,3,BH,3,5
