Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
2015-11,1,2,SZ1_BSMB2,0.12694394006558057,189
2015-11,1,3,SZ1_BSMB3,0.14925485918799725,246
2015-11,2,1,SZ2_BSMB1,0.0985422230322818,166
2015-11,2,2,SZ2_BSMB2,0.07295622639732789,213
2015-11,2,3,SZ2_BSMB3,0.05954332238233001,182
2015-11,3,1,SZ3_BSMB1,0.012875402425975,291
2015-11,3,2,SZ3_BSMB2,0.008553033720242104,148
2015-11,3,3,SZ3_BSMB3,0.012327122873353155,120
2015-12,1,1,SZ1_BSMB1,0.1607731013065611,97
2015-12,1,2,SZ1_BSMB2,0.12343516933669282,197
2015-12,1,3,SZ1_BSMB3,0.10801984100651899,249
2015-12,2,1,SZ2_BSMB1,0.04905698761281341,166
2015-12,2,2,SZ2_BSMB2,0.06823560484945941,217
2015-12,2,3,SZ2_BSMB3,0.06836743463171324,191
2015-12,3,1,SZ3_BSMB1,0.035459300750303346,299
2015-12,3,2,SZ3_BSMB2,0.012443214227944914,154
2015-12,3,3,SZ3_BSMB3,0.01584696790296809,124
2016-01,1,1,SZ1_BSMB1,-0.3057636369809465,100
2016-01,1,2,SZ1_BSMB2,-0.2917557374386758,198
2016-01,1,3,SZ1_BSMB3,-0.31119041936797814,250
2016-01,2,1,SZ2_BSMB1,-0.2874004289479693,169
2016-01,2,2,SZ2_BSMB2,-0.30608045281455026,216
2016-01,2,3,SZ2_BSMB3,-0.32299695455111466,191
2016-01,3,1,SZ3_BSMB1,-0.20188556593420004,297
2016-01,3,2,SZ3_BSMB2,-0.25112658254095516,154
2016-01,3,3,SZ3_BSMB3,-0.2994676546138122,125
2016-02,1,1,SZ1_BSMB1,-0.026323716171027613,101
2016-02,1,2,SZ1_BSMB2,-0.002321707176019887,198
2016-02,1,3,SZ1_BSMB3,-0.004040028514883787,249
2016-02,2,1,SZ2_BSMB1,-0.014314225940464994,171
2016-02,2,2,SZ2_BSMB2,-0.010997384894544913,216
2016-02,2,3,SZ2_BSMB3,-0.009882550567864556,186
2016-02,3,1,SZ3_BSMB1,-0.017281816340286964,295
2016-02,3,2,SZ3_BSMB2,-0.01202141712235575,153
2016-02,3,3,SZ3_BSMB3,-0.03715616819667499,122
2016-03,1,1,SZ1_BSMB1,0.19230923897489513,102
2016-03,1,2,SZ1_BSMB2,0.21292735636744048,197
2016-03,1,3,SZ1_BSMB3,0.20356433707028632,252
2016-03,2,1,SZ2_BSMB1,0.18249823187038697,170
2016-03,2,2,SZ2_BSMB2,0.18359460491500207,216
2016-03,2,3,SZ2_BSMB3,0.16475726922351347,190
2016-03,3,1,SZ3_BSMB1,0.11236998047783071,298
2016-03,3,2,SZ3_BSMB2,0.12247416125279369,154
2016-03,3,3,SZ3_BSMB3,0.14896460389875785,123
2016-04,1,1,SZ1_BSMB1,0.018336639648429746,101
2016-04,1,2,SZ1_BSMB2,0.010964290281360032,194
2016-04,1,3,SZ1_BSMB3,0.016887559129035643,250
2016-04,2,1,SZ2_BSMB1,-0.01997982390014993,172
2016-04,2,2,SZ2_BSMB2,-0.01071418461672678,215
2016-04,2,3,SZ2_BSMB3,-0.02678781725745164,189
2016-04,3,1,SZ3_BSMB1,-0.02016407216418979,296
2016-04,3,2,SZ3_BSMB2,-0.03447583589479119,154
2016-04,3,3,SZ3_BSMB3,-0.04924947281211461,124
2016-05,1,1,SZ1_BSMB1,-0.019886865794886504,99
2016-05,1,2,SZ1_BSMB2,-0.04196959528350491,192
2016-05,1,3,SZ1_BSMB3,-0.04011669375886029,239
2016-05,2,1,SZ2_BSMB1,0.012380424147025835,171
2016-05,2,2,SZ2_BSMB2,-0.019531966245319363,216
2016-05,2,3,SZ2_BSMB3,-0.02305782247083927,185
2016-05,3,1,SZ3_BSMB1,0.0022575533233509916,295
2016-05,3,2,SZ3_BSMB2,-0.005970506741658042,157
2016-05,3,3,SZ3_BSMB3,-0.012560294866173596,124
2016-06,1,1,SZ1_BSMB1,0.06332804551484532,97
2016-06,1,2,SZ1_BSMB2,0.05797028186640538,194
2016-06,1,3,SZ1_BSMB3,0.08153613156778272,238
2016-06,2,1,SZ2_BSMB1,0.04430179098377841,170
2016-06,2,2,SZ2_BSMB2,0.052570351872154406,217
2016-06,2,3,SZ2_BSMB3,0.05041694898196461,180
2016-06,3,1,SZ3_BSMB1,0.007053131360036415,299
2016-06,3,2,SZ3_BSMB2,0.0045912861249087075,159
2016-06,3,3,SZ3_BSMB3,0.01719078691894066,125
2016-07,1,1,SZ1_BSMB1,0.008355186375894866,71
2016-07,1,2,SZ1_BSMB2,0.013712987573847448,204
2016-07,1,3,SZ1_BSMB3,0.0012590914721576016,320
2016-07,2,1,SZ2_BSMB1,-0.002140617999832239,195
2016-07,2,2,SZ2_BSMB2,0.0029563494403545,221
2016-07,2,3,SZ2_BSMB3,0.005502143134147909,179
2016-07,3,1,SZ3_BSMB1,0.03251230457556417,338
2016-07,3,2,SZ3_BSMB2,0.018188777402840254,182
2016-07,3,3,SZ3_BSMB3,0.0033954522030086197,102
2016-08,1,1,SZ1_BSMB1,0.068319199287467,71
2016-08,1,2,SZ1_BSMB2,0.0646406243968037,204
2016-08,1,3,SZ1_BSMB3,0.06519568047406067,312
2016-08,2,1,SZ2_BSMB1,0.03573774966002773,195
2016-08,2,2,SZ2_BSMB2,0.044639996183018435,219
2016-08,2,3,SZ2_BSMB3,0.044042595607210036,176
2016-08,3,1,SZ3_BSMB1,0.03779922103700736,337
2016-08,3,2,SZ3_BSMB2,0.025139095826461566,181
2016-08,3,3,SZ3_BSMB3,0.03361850988247505,100
2016-09,1,1,SZ1_BSMB1,-0.0013731850140038277,72
2016-09,1,2,SZ1_BSMB2,0.017427590715770182,200
2016-09,1,3,SZ1_BSMB3,0.017731138191128735,306
2016-09,2,1,SZ2_BSMB1,-0.011035386016476701,195
2016-09,2,2,SZ2_BSMB2,-0.015410455152038607,218
2016-09,2,3,SZ2_BSMB3,-0.013039846482686438,176
2016-09,3,1,SZ3_BSMB1,-0.024562803074261293,333
2016-09,3,2,SZ3_BSMB2,-0.026611382344741218,181
2016-09,3,3,SZ3_BSMB3,-0.03195717024675063,100
2016-10,1,1,SZ1_BSMB1,0.04207416673762987,72
2016-10,1,2,SZ1_BSMB2,0.05194320095811172,198
2016-10,1,3,SZ1_BSMB3,0.05293815170527136,300
2016-10,2,1,SZ2_BSMB1,0.026732581039720496,190
2016-10,2,2,SZ2_BSMB2,0.03465719947843305,216
2016-10,2,3,SZ2_BSMB3,0.038417602962872784,170
2016-10,3,1,SZ3_BSMB1,0.026687246663583946,332
2016-10,3,2,SZ3_BSMB2,0.022403978375882982,181
2016-10,3,3,SZ3_BSMB3,0.02775261368874555,100
2016-11,1,1,SZ1_BSMB1,0.03315758305387466,72
2016-11,1,2,SZ1_BSMB2,0.020374355497634923,199
2016-11,1,3,SZ1_BSMB3,0.042209264015982725,307
2016-11,2,1,SZ2_BSMB1,0.012251542693023412,189
2016-11,2,2,SZ2_BSMB2,0.026271258629535065,216
2016-11,2,3,SZ2_BSMB3,0.012541813540421437,171
2016-11,3,1,SZ3_BSMB1,0.05055574348664091,331
2016-11,3,2,SZ3_BSMB2,0.0386496799804873,182
2016-11,3,3,SZ3_BSMB3,0.0237584460849125,101
2016-12,1,1,SZ1_BSMB1,-0.013995088913432454,73
2016-12,1,2,SZ1_BSMB2,-0.020527513326330266,200
2016-12,1,3,SZ1_BSMB3,0.0031583911674681895,306
2016-12,2,1,SZ2_BSMB1,-0.043763804773815466,190
2016-12,2,2,SZ2_BSMB2,-0.04399956063687982,214
2016-12,2,3,SZ2_BSMB3,-0.05781603850213621,172
2016-12,3,1,SZ3_BSMB1,-0.04454877736660925,333
2016-12,3,2,SZ3_BSMB2,-0.052383832428328114,179
2016-12,3,3,SZ3_BSMB3,-0.060651152826319256,96
2017-01,1,1,SZ1_BSMB1,0.0020134134320515433,74
2017-01,1,2,SZ1_BSMB2,-0.01584942535352413,200
2017-01,1,3,SZ1_BSMB3,-0.028845834768807255,308
2017-01,2,1,SZ2_BSMB1,-0.018751383247688883,190
2017-01,2,2,SZ2_BSMB2,-0.012292548673247868,213
2017-01,2,3,SZ2_BSMB3,-0.016297611551861185,175
2017-01,3,1,SZ3_BSMB1,0.030936398718708992,331
2017-01,3,2,SZ3_BSMB2,0.02156777778394826,174
2017-01,3,3,SZ3_BSMB3,-0.006262888104067098,96
2017-02,1,1,SZ1_BSMB1,0.03389233351498756,72
2017-02,1,2,SZ1_BSMB2,0.04657758385474045,197
2017-02,1,3,SZ1_BSMB3,0.03926172009569775,305
2017-02,2,1,SZ2_BSMB1,0.09531885531166061,189
2017-02,2,2,SZ2_BSMB2,0.039343258585637274,215
2017-02,2,3,SZ2_BSMB3,0.04088220472567088,171
2017-02,3,1,SZ3_BSMB1,0.018705837631888173,329
2017-02,3,2,SZ3_BSMB2,0.019373972410103968,175
2017-02,3,3,SZ3_BSMB3,0.04464214950304491,95
2017-03,1,1,SZ1_BSMB1,-0.00713914416394363,72
2017-03,1,2,SZ1_BSMB2,-0.02807881230409551,196
2017-03,1,3,SZ1_BSMB3,-0.034092022721331314,309
2017-03,2,1,SZ2_BSMB1,-0.03320712391658311,189
2017-03,2,2,SZ2_BSMB2,-0.009131163934971726,210
2017-03,2,3,SZ2_BSMB3,-0.031072835795919917,175
2017-03,3,1,SZ3_BSMB1,0.002415453912046241,334
2017-03,3,2,SZ3_BSMB2,-0.00726108411090453,175
2017-03,3,3,SZ3_BSMB3,-0.017174139520296866,95
2017-04,1,1,SZ1_BSMB1,-0.06272813526869021,71
2017-04,1,2,SZ1_BSMB2,-0.06429187700146956,197
2017-04,1,3,SZ1_BSMB3,-0.07760626571236931,307
2017-04,2,1,SZ2_BSMB1,-0.045313366780652425,188
2017-04,2,2,SZ2_BSMB2,-0.05187247005243776,211
2017-04,2,3,SZ2_BSMB3,-0.060238643522145544,177
2017-04,3,1,SZ3_BSMB1,-0.0037592682653662577,337
2017-04,3,2,SZ3_BSMB2,-0.012021583930060616,172
2017-04,3,3,SZ3_BSMB3,-0.0429598600249495,96
2017-05,1,1,SZ1_BSMB1,-0.08316419546893913,70
2017-05,1,2,SZ1_BSMB2,-0.08735533228249939,196
2017-05,1,3,SZ1_BSMB3,-0.10506143734316468,309
2017-05,2,1,SZ2_BSMB1,-0.051577532073435545,191
2017-05,2,2,SZ2_BSMB2,-0.0822842934234785,206
2017-05,2,3,SZ2_BSMB3,-0.08374838386878847,172
2017-05,3,1,SZ3_BSMB1,0.018402321986863996,335
2017-05,3,2,SZ3_BSMB2,-0.023947257679029107,171
2017-05,3,3,SZ3_BSMB3,-0.05833758305722251,95
2017-06,1,1,SZ1_BSMB1,0.04972097006919857,68
2017-06,1,2,SZ1_BSMB2,0.046282083596748486,197
2017-06,1,3,SZ1_BSMB3,0.04083421068565108,310
2017-06,2,1,SZ2_BSMB1,0.03926051498321107,187
2017-06,2,2,SZ2_BSMB2,0.05505231408159472,207
2017-06,2,3,SZ2_BSMB3,0.04330712349523654,170
2017-06,3,1,SZ3_BSMB1,0.043314382551743344,331
