Trdmnt,RF,RM,MKT_RF,SMB,HML_EP,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2010-10,0.0020599999999999998,0.120498,0.11843799999999999,-0.051175643159916864,-0.024834048522621277,0.08372482201068905,0.087883975483135,0.08036136193929408,0.17916055684947477,0.09348061218776678,0.1328559198756272,301,283,116,118,275,305
2010-11,0.0020599999999999998,-0.039649,-0.041708999999999996,0.06511612319299513,0.01840827328710182,0.008923701674989666,0.017001794827810262,0.0062201637254050085,-0.10218943905281419,0.0016560842310596089,-0.06266935452902589,300,284,115,118,275,306
2010-12,0.002263,-0.006102,-0.008365,-0.012593110285819624,0.005317497897274223,-0.03080521117262954,-0.010830955513871157,-0.0291944695967813,-0.009324779585169767,-0.023426000474183795,-0.0003005253664695628,299,285,114,118,275,306
2011-01,0.002263,-0.026034,-0.028297000000000003,-0.004497299484693337,0.03162978579334849,-0.04141413001737235,-0.059821999079827,-0.03913962095688429,-0.06293650889563199,-0.06199589633494856,-0.001951446369423072,298,284,114,118,273,304
2011-02,0.0024660000000000003,0.054119,0.051653,0.041695516985920236,-0.05297429635098505,0.13016135905723208,0.10823619260287617,0.10256582709212772,0.11172713920288158,0.07077561012557786,0.033374078466015825,296,284,115,118,273,305
2011-03,0.0024660000000000003,-0.002672,-0.005138,0.004951296991819843,-0.006045003796829993,0.018871673239340487,-0.019692316689848822,0.0015132815826338407,0.00801471003126113,-0.03545905696890295,0.013283094094307791,300,283,115,118,271,301
2011-04,0.0026690000000000004,-0.014351,-0.01702,-0.015471254746047512,0.006466831467537435,-0.024572929695871725,-0.030835098530553648,-0.04939190542809814,-0.04082701547609526,-0.014484777131491756,-0.003074376808793974,298,280,115,119,271,303
2011-05,0.0026690000000000004,-0.062388,-0.065057,-0.006541401936873664,0.008844064785512792,-0.06852876163949936,-0.07181942995507815,-0.0750720471365049,-0.0793816180973252,-0.061264211793842116,-0.055150203029294104,296,279,115,119,272,301
2011-06,0.0026690000000000004,0.027185,0.024516,0.013534470430273685,-0.011815400309718692,0.04661431240506489,0.03573795716920735,0.034687819312097266,0.0314679419067794,0.025205101308459415,0.019763634380309644,298,279,115,119,272,302
2011-07,0.0028710000000000003,-0.010227,-0.013098,0.018211503638170187,-0.02898905955827119,0.030921379044746414,0.01780245178426714,0.009284045316903446,0.0046963179321649045,0.030321514755776036,-0.03164446745653451,335,365,140,170,307,365
2011-08,0.0028710000000000003,-0.044695,-0.047566,0.019119150683806378,0.004408478561896981,-0.03160679794159327,-0.02376036484463065,-0.02695047580142025,-0.055425605751595705,-0.032984514119492825,-0.05126497076797476,331,366,140,169,307,364
2011-09,0.0028710000000000003,-0.091178,-0.094049,-0.014192568157838995,0.02461395329097342,-0.1169663500335445,-0.11785100598615052,-0.12322646643183892,-0.12449077211015179,-0.12197259673795458,-0.06900274912991054,330,366,140,169,306,363
2011-10,0.0028710000000000003,0.042253,0.039382,-0.0027669342770644534,0.008130627304415501,0.031050420278570162,0.04622083445741572,0.030396747769029214,0.029227175917108047,0.04059952638362041,0.046142103035480005,333,363,140,169,305,362
2011-11,0.0028710000000000003,-0.052726,-0.055597,0.0027633763128883035,-0.02035582604697865,-0.037017519880465775,-0.03312466000198446,-0.058982318896311524,-0.042181238096136976,-0.03430529844704115,-0.060928091174248536,329,363,140,167,306,362
2011-12,0.0028710000000000003,-0.078903,-0.081774,-0.061119709545185086,0.0885351385267901,-0.19454475867698848,-0.15642009567628656,-0.15013167773125988,-0.1597956653453369,-0.1308032688661575,-0.027138469237485276,329,365,139,170,303,363
2012-01,0.0028710000000000003,0.030396,0.027525,-0.020249034698632228,0.017676985458324315,0.008140328328812743,-0.02261897754726247,0.01873145226849619,0.024629930182949983,-0.009022800196921999,0.04939277715991516,327,365,139,170,303,361
2012-02,0.0028710000000000003,0.07511,0.072239,0.040643109449405704,-0.04386981467888257,0.14069631797324172,0.13129002224935069,0.13012029276035786,0.12509871688178892,0.10714347501603669,0.04793511273690765,331,362,139,168,304,362
2012-03,0.0028710000000000003,-0.067882,-0.070753,0.005042708943099133,0.0042913697435560255,-0.06535055813549184,-0.06245872064047077,-0.060238858817005796,-0.06879771867760513,-0.06905186723568148,-0.06532667850897914,330,362,139,165,306,361
2012-04,0.0028710000000000003,0.059596,0.056725000000000005,0.02704956332652062,0.015121146436848726,0.07579820100327804,0.07749482383673938,0.10871966822903784,0.05732326201527639,0.06889665341100297,0.05464408766321405,329,360,139,164,306,361
2012-05,0.0028710000000000003,0.002257,-0.0006140000000000004,-0.00685960679683054,-0.03157173189272105,0.01698323967525686,0.01564807946381568,0.008699629538092217,0.040829438224435084,0.03511074626706367,-0.014030415423842374,327,363,139,166,305,362
2012-06,0.0026690000000000004,-0.049764,-0.052433,-0.01873215028477592,0.018706981055628347,-0.07934833502138916,-0.06522950032103168,-0.07773843042337715,-0.0794309674719411,-0.04306193748083269,-0.04362690995869643,327,364,139,169,304,363
2012-07,0.0024660000000000003,-0.057731,-0.060197,-0.034611173817482944,0.026072156293792684,-0.10198091567208113,-0.09663413735293894,-0.08974126116620806,-0.08485236144703924,-0.05472272792641313,-0.04494770336532693,368,377,160,174,347,382
2012-08,0.0024660000000000003,-0.024016,-0.026482,0.054327197753444634,-0.020074454227902102,0.03750740627780141,0.028822566015015514,0.01541321961271456,-0.015895202267422796,-0.03139327502923947,-0.03394992405814015,365,376,160,175,345,381
2012-09,0.0024660000000000003,0.022779,0.020313,-0.01968915205940016,-0.003936514295414133,0.012781282474968094,0.009670984256229984,0.0016867561274876,0.017973754149438574,0.04403747298135678,0.0211952519060908,365,376,160,175,346,380
2012-10,0.0024660000000000003,-0.009065,-0.011531,0.022025713721814166,0.008744468685617889,0.007250462198776779,-0.001416583520365824,0.015762725002043457,-0.01701015481419181,-0.019436902424573552,-0.008033480246222711,363,376,159,173,346,380
2012-11,0.0024660000000000003,-0.06243,-0.064896,-0.03413595067319203,0.05214481919269254,-0.12665959215543982,-0.12066052981826118,-0.1023428014038947,-0.10531240347368218,-0.11660311204449524,-0.025339555839842206,366,376,159,173,347,381
2012-12,0.0024660000000000003,0.15302,0.150554,0.0049922922303496375,-0.00028504319345018514,0.1479932791280344,0.15685966364419437,0.1682426462226078,0.17205872733042923,0.1348207111244029,0.15123927384895547,366,373,159,174,346,381
2013-01,0.0024660000000000003,0.05343,0.050963999999999995,0.014841443419982371,-0.028747124821867108,0.08662022758947882,0.06947717493840105,0.05364047526127391,0.07484962624698507,0.04002879235076586,0.050335128931455766,362,376,159,173,345,380
2013-02,0.0024660000000000003,0.002095,-0.00037100000000000024,0.023654342601710357,-0.022707883099411467,0.03969076292379735,0.038786312167917066,0.029884975159264554,0.018651340107470413,0.03570632066519721,-0.01695863832681973,359,375,159,173,344,380
2013-03,0.0024660000000000003,-0.051727,-0.054193000000000005,0.015099021816984842,-0.019279651383881546,-0.022092645708360555,-0.03024433783161309,-0.03461545939963327,-0.039170742906887136,-0.027871533500296825,-0.06520723198337751,363,375,158,172,342,379
