form_year,Stkcd,size_june,size_dec_prev,earnings,ep,size2,ep3,leg_2x3,size5,ep5
1995,600676,701569.92,625312.32,10337880.0,16.53234658802181,1,1,SL,3,1
1995,600677,517974.3,488655.0,35587980.79,72.82843885768078,1,2,SM,2,4
1995,600678,1098155.2,1149340.4,142773000.0,124.22168401980824,2,3,BH,4,5
1995,600679,1875609.77,2228073.35,117659000.0,52.80750743686243,2,2,BM,5,3
1995,600680,1281661.06,1290320.93,49001800.0,37.97644358136545,2,2,BM,4,2
1995,600681,465163.59,487014.03,25223000.0,51.79111575081317,1,2,SM,1,3
1995,600682,615114.58,646102.72,49379000.0,76.42592806295569,1,3,SH,3,4
1995,600683,600826.63,642210.09,41045500.0,63.912885579234676,1,2,SM,2,4
1995,600684,1051171.22,1080895.86,105916070.0,97.98915318262019,2,3,BH,4,5
1995,600685,994974.76,1028702.72,157342000.0,152.95186543299894,2,3,BH,4,5
1995,600686,521893.68,636373.58,20101000.0,31.586792148096407,1,1,SL,2,2
1995,600687,415599.8,473283.8,3238000.0,6.841561025329834,1,1,SL,1,1
1995,600688,9642600.0,8960800.0,1493466000.0,166.66659226854745,2,3,BH,5,5
1995,600689,585977.04,665883.0,33058000.0,49.64535811846826,1,2,SM,2,3
1995,600690,1051960.0,1054170.0,96403910.0,91.45006023696368,2,3,BH,4,5
1995,600691,607248.77,548164.76,23230590.0,42.37884609729381,1,2,SM,2,2
1995,600692,771436.19,737328.48,10754000.0,14.585086961512731,2,1,BL,3,1
1995,600693,579730.66,592654.6,22996000.0,38.80168988817433,1,2,SM,2,2
1995,600694,608655.25,692818.0,58002000.0,83.71895649362459,1,3,SH,2,4
1995,600695,5415492.48,6362036.28,180943000.0,28.441051266686582,2,1,BL,5,1
1995,600696,876881.81,959966.64,63520830.0,66.16983065161514,2,2,BM,3,4
1995,600697,334027.99,311644.67,19890090.0,63.822975056817114,1,2,SM,1,4
1995,600698,1305360.0,1072704.0,108719000.0,101.35041912773701,2,3,BH,5,5
1995,600699,505318.19,328825.92,17666000.0,53.72447524817995,1,2,SM,2,3
1995,600800,448540.83,473338.21,17949600.0,37.921299444640226,1,2,SM,1,2
1995,600801,715140.0,713496.0,60250000.0,84.44336057945665,1,3,SH,3,5
1995,600802,720964.2,848856.0,89731920.0,105.70923690237214,1,3,SH,3,5
1995,600803,207576.6,200657.38,4576000.0,22.805042107098178,1,1,SL,1,1
1995,600804,285428.88,283480.56,25266930.0,89.13108539082891,1,3,SH,1,5
1995,600805,1409623.0,1033557.5,48961288.29,47.371615309259525,2,2,BM,5,3
1995,600806,486019.98,460818.94,37992000.0,82.44452799618001,1,3,SH,2,4
1995,600807,303008.4,347975.4,10470000.0,30.08833383049491,1,1,SL,1,2
1995,600808,8405818.6,8264147.5,749405000.0,90.68146472458291,2,3,BH,5,5
1995,600809,1930932.0,1467960.0,96382000.0,65.65710237336167,2,2,BM,5,4
1995,600810,1412400.0,1452000.0,71484000.0,49.231404958677686,2,2,BM,5,3
1995,600811,837900.0,879900.0,41205745.0,46.83003182179793,2,2,BM,3,3
1995,600812,1772468.11,1898076.08,207550000.0,109.34756629987139,2,3,BH,5,5
1995,600813,470850.0,492350.0,41119100.0,83.51599471920382,1,3,SH,2,4
1995,600814,634579.92,682344.0,68072000.0,99.76199688133845,1,3,SH,3,5
1995,600815,941928.96,1076196.8,87886000.0,81.6635024374724,2,3,BH,4,4
1995,600816,897689.25,1055781.53,50255048.67,47.5998558811689,2,2,BM,4,3
1995,600817,858937.17,858937.17,4376710.0,5.095494935910155,2,1,BL,3,1
1995,600818,1171406.17,1315053.06,29062000.0,22.099488517976603,2,1,BL,4,1
1995,600819,3335000.0,3912100.0,253204000.0,64.72329439431508,2,2,BM,5,4
1995,600820,1465598.05,1492582.59,27107000.0,18.161139076397774,2,1,BL,5,1
1995,600821,610591.18,536752.25,29872000.0,55.65323666551934,1,2,SM,2,3
1995,600822,1629514.63,1839323.38,32017000.0,17.406944503690266,2,1,BL,5,1
1995,600823,873000.0,700000.0,18132160.0,25.903085714285716,2,1,BL,3,1
1995,600824,713238.45,671964.24,27858050.0,41.45763768619592,1,2,SM,3,2
1995,600825,647500.0,642000.0,20713260.0,32.263644859813084,1,1,SL,3,2
1995,600826,1260510.56,1593342.0,66472000.0,41.71860153061929,2,2,BM,4,2
1995,600827,579960.0,549900.0,26070040.0,47.408692489543554,1,2,SM,2,3
1995,600828,543780.0,495900.0,34361000.0,69.29017947166767,1,2,SM,2,4
1995,600829,533042.4,545157.0,31254000.0,57.330273664283865,1,2,SM,2,3
1995,600830,562770.0,413205.0,17998970.0,43.55941965852301,1,2,SM,2,2
1995,600831,457388.34,464065.54,3973000.0,8.561290717686127,1,1,SL,1,1
1995,600832,8698815.47,8660039.17,74875710.0,8.646116781940606,2,1,BL,5,1
1995,600833,1084903.87,975883.72,24780820.0,25.393209756588625,2,1,BL,4,1
1995,600834,3157700.0,3994900.0,32586530.0,8.15703271671381,2,1,BL,5,1
1995,600835,2150892.45,2627096.61,162366000.0,61.80435062112162,2,2,BM,5,3
1995,600836,932500.0,870000.0,18546090.0,21.317344827586208,2,1,BL,4,1
1995,600837,867104.99,594732.54,21243000.0,35.718576958980584,2,1,BL,3,2
1995,600838,634500.0,559000.0,19166370.0,34.286887298747764,1,1,SL,3,2
1995,600839,2723024.8,2627897.3,707222990.0,269.1212438172527,2,3,BH,5,5
1995,600840,344912.16,338529.99,16267360.0,48.05293616674848,1,2,SM,1,3
1995,600841,2420251.13,2898596.32,187038950.0,64.52742270782984,2,2,BM,5,4
1995,600842,540650.0,533500.0,19692000.0,36.910965323336455,1,2,SM,2,2
1995,600843,1218274.08,1306485.7,51149100.0,39.15014148260482,2,2,BM,4,2
1995,600844,990755.85,843882.75,51095080.0,60.54760569522247,2,2,BM,4,3
1995,600845,1751152.9,1763033.18,19118010.0,10.843817471432954,2,1,BL,5,1
1995,600846,876499.75,636088.39,30114000.0,47.3424770415948,2,2,BM,3,3
1995,600847,456320.0,417880.0,19625810.0,46.96518139178711,1,2,SM,1,3
1995,600848,1702670.98,1794093.4,56246000.0,31.350653204565607,2,1,BL,5,2
