Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1999-01,-0.01030260010950577,0.011287180179293572,0.016891714263157283,-0.016235076142654833,-0.010189060253754236,-0.02165481028670163,95,155,103,117,127,109
1999-02,-0.04565541570590522,-0.027721214496160045,-0.04035771214405135,-0.04488971145592728,-0.04317609010041905,-0.0462250461235914,95,155,103,117,127,109
1999-03,0.09320615104236353,0.10496464420017451,0.16064690741174978,0.017372815001669616,0.06654407924240527,0.08383630067991649,95,155,103,117,127,109
1999-04,-0.034542081860304455,-0.0466666392822225,-0.033656191362837096,-0.057077542239250226,-0.025147414336677536,-0.011802325985158338,95,155,103,117,127,109
1999-05,0.08311513753223677,0.09787600825393425,0.06525161985546016,0.1953758496625461,0.12232994020988597,0.07930975724087892,95,155,103,117,127,109
1999-06,0.2985111528929617,0.2864996458995622,0.3584800746690992,0.39273281669962123,0.2925481853467755,0.3394065187217016,95,155,103,117,127,109
1999-07,-0.05341277845609083,-0.04361066341391237,-0.032551115006896905,-0.08019700582475238,-0.04735668400782221,-0.06488421099442436,120,189,98,124,137,145
1999-08,0.04445850547149307,0.05795469796065233,0.05663016861268236,-0.026538634404258455,-0.004344310945152789,0.03167669985881597,120,189,98,124,137,145
1999-09,-0.009138970740647647,-0.034192450160783254,-0.030718453325010966,-0.021202788285186652,-0.034545024282725004,-0.03995375851352173,119,189,98,124,137,145
1999-10,-0.026977340302861988,-0.026931224974698142,-0.03695271802983642,-0.05905071537206278,-0.040645221306477936,-0.05461827089922988,119,189,98,124,137,145
1999-11,-0.013809473720246258,-0.016362098487852646,-0.01986607090892952,-0.05857883702160645,-0.04641558254550538,-0.046224183815530805,120,189,98,124,137,145
1999-12,-0.040730223612917886,-0.06036213471261446,-0.07821628830322275,-0.01435058577199298,-0.05749955944651412,-0.06430135961272021,120,189,98,124,137,145
2000-01,0.19887778101892742,0.1543271470834078,0.12015147364176759,0.1937105189206122,0.14264940333724088,0.09198619692409865,120,189,98,124,137,145
2000-02,0.1448554196569592,0.14993059366569522,0.13227390249714585,0.13688341587527428,0.1170821509116049,0.10730997908884028,120,189,98,124,137,145
2000-03,0.1105674283474187,0.1244412395875132,0.10647030771502146,0.002943953377851581,0.04417453233452991,0.07238714803499947,120,189,98,124,137,145
