Trdmnt,model,coefficient,lambda,n_stocks
1994-03,M7_all3,beta,-0.0542536169,11
1994-03,M7_all3,ln_size,-0.0902110384,11
1994-03,M7_all3,ln_be_me,-0.0481458185,11
1994-04,M1_beta,intercept,0.0603081606,11
1994-04,M1_beta,beta,-0.2849012087,11
1994-04,M2_ln_size,intercept,-0.1237212076,98
1994-04,M2_ln_size,ln_size,-0.0018802740,98
1994-04,M3_ln_be_me,intercept,-0.2378265160,52
1994-04,M3_ln_be_me,ln_be_me,0.0190211802,52
1994-04,M4_beta_ln_size,intercept,-0.1977819433,11
1994-04,M4_beta_ln_size,beta,-0.3181244098,11
1994-04,M4_beta_ln_size,ln_size,0.0204572471,11
1994-04,M5_beta_ln_be_me,intercept,0.4716160044,11
1994-04,M5_beta_ln_be_me,beta,-0.3212381340,11
1994-04,M5_beta_ln_be_me,ln_be_me,-0.0780631604,11
1994-04,M6_ln_size_ln_be_me,intercept,-0.4050422052,52
1994-04,M6_ln_size_ln_be_me,ln_size,0.0115382530,52
1994-04,M6_ln_size_ln_be_me,ln_be_me,0.0197324137,52
1994-04,M7_all3,intercept,0.2588630654,11
1994-04,M7_all3,beta,-0.3437633138,11
1994-04,M7_all3,ln_size,0.0150883182,11
1994-04,M7_all3,ln_be_me,-0.0738122575,11
1994-05,M1_beta,intercept,0.0292387102,11
1994-05,M1_beta,beta,-0.0954601031,11
1994-05,M2_ln_size,intercept,-0.0773603140,98
1994-05,M2_ln_size,ln_size,-0.0001673738,98
1994-05,M3_ln_be_me,intercept,-0.0342017960,52
1994-05,M3_ln_be_me,ln_be_me,-0.0083794378,52
1994-05,M4_beta_ln_size,intercept,-0.0575311354,11
1994-05,M4_beta_ln_size,beta,-0.1066297372,11
1994-05,M4_beta_ln_size,ln_size,0.0068777227,11
1994-05,M5_beta_ln_be_me,intercept,0.2496364962,11
1994-05,M5_beta_ln_be_me,beta,-0.1149311101,11
1994-05,M5_beta_ln_be_me,ln_be_me,-0.0418298556,11
1994-05,M6_ln_size_ln_be_me,intercept,0.0594445277,52
1994-05,M6_ln_size_ln_be_me,ln_size,-0.0064618038,52
1994-05,M6_ln_size_ln_be_me,ln_be_me,-0.0087777521,52
1994-05,M7_all3,intercept,0.1944280151,11
1994-05,M7_all3,beta,-0.1207762982,11
1994-05,M7_all3,ln_size,0.0039153543,11
1994-05,M7_all3,ln_be_me,-0.0407267644,11
1994-06,M1_beta,intercept,-0.0829969800,11
1994-06,M1_beta,beta,-0.0904959588,11
1994-06,M2_ln_size,intercept,-0.2998079403,98
1994-06,M2_ln_size,ln_size,0.0082998947,98
1994-06,M3_ln_be_me,intercept,-0.1431999872,52
1994-06,M3_ln_be_me,ln_be_me,-0.0077655835,52
1994-06,M4_beta_ln_size,intercept,-0.2181472402,11
1994-06,M4_beta_ln_size,beta,-0.1078934653,11
1994-06,M4_beta_ln_size,ln_size,0.0107125466,11
1994-06,M5_beta_ln_be_me,intercept,0.2626157051,11
1994-06,M5_beta_ln_be_me,beta,-0.1210290559,11
1994-06,M5_beta_ln_be_me,ln_be_me,-0.0655947094,11
1994-06,M6_ln_size_ln_be_me,intercept,-0.1770320169,52
1994-06,M6_ln_size_ln_be_me,ln_size,0.0023344850,52
1994-06,M6_ln_size_ln_be_me,ln_be_me,-0.0076216827,52
1994-06,M7_all3,intercept,0.1770870452,11
1994-06,M7_all3,beta,-0.1300843876,11
1994-06,M7_all3,ln_size,0.0060656442,11
1994-06,M7_all3,ln_be_me,-0.0638858069,11
1994-07,M1_beta,intercept,-0.2230299013,31
1994-07,M1_beta,beta,-0.0329710419,31
1994-07,M2_ln_size,intercept,-0.4737430075,270
1994-07,M2_ln_size,ln_size,0.0138018164,270
1994-07,M3_ln_be_me,intercept,-0.7399815068,180
1994-07,M3_ln_be_me,ln_be_me,0.0744116490,180
1994-07,M4_beta_ln_size,intercept,-1.6609896520,31
1994-07,M4_beta_ln_size,beta,-0.0189551724,31
1994-07,M4_beta_ln_size,ln_size,0.1064250807,31
1994-07,M5_beta_ln_be_me,intercept,-0.7528126301,31
1994-07,M5_beta_ln_be_me,beta,-0.0377749890,31
1994-07,M5_beta_ln_be_me,ln_be_me,0.0871955451,31
1994-07,M6_ln_size_ln_be_me,intercept,-1.0955125293,180
1994-07,M6_ln_size_ln_be_me,ln_size,0.0252757016,180
1994-07,M6_ln_size_ln_be_me,ln_be_me,0.0771184384,180
1994-07,M7_all3,intercept,-2.0445975438,31
1994-07,M7_all3,beta,-0.0239897512,31
1994-07,M7_all3,ln_size,0.1003038631,31
1994-07,M7_all3,ln_be_me,0.0767494874,31
1994-08,M1_beta,intercept,0.8412023923,31
1994-08,M1_beta,beta,0.2433220444,31
1994-08,M2_ln_size,intercept,1.8347464294,270
1994-08,M2_ln_size,ln_size,-0.0463461602,270
1994-08,M3_ln_be_me,intercept,2.7889374776,180
1994-08,M3_ln_be_me,ln_be_me,-0.2568023279,180
1994-08,M4_beta_ln_size,intercept,6.6636883189,31
1994-08,M4_beta_ln_size,beta,0.1865699670,31
1994-08,M4_beta_ln_size,ln_size,-0.4309289841,31
1994-08,M5_beta_ln_be_me,intercept,2.0834134069,31
1994-08,M5_beta_ln_be_me,beta,0.2545861262,31
1994-08,M5_beta_ln_be_me,ln_be_me,-0.2044522417,31
1994-08,M6_ln_size_ln_be_me,intercept,4.1365943033,180
1994-08,M6_ln_size_ln_be_me,ln_size,-0.0958087189,180
1994-08,M6_ln_size_ln_be_me,ln_be_me,-0.2670625385,180
1994-08,M7_all3,intercept,7.4679460340,31
1994-08,M7_all3,beta,0.1971252735,31
1994-08,M7_all3,ln_size,-0.4180954721,31
1994-08,M7_all3,ln_be_me,-0.1609100560,31
1994-09,M1_beta,intercept,0.1124896026,31
1994-09,M1_beta,beta,0.0175755550,31
1994-09,M2_ln_size,intercept,0.8782569034,270
1994-09,M2_ln_size,ln_size,-0.0582047688,270
1994-09,M3_ln_be_me,intercept,-0.3267561226,180
1994-09,M3_ln_be_me,ln_be_me,0.0718687271,180
1994-09,M4_beta_ln_size,intercept,1.5305719422,31
1994-09,M4_beta_ln_size,beta,0.0037534317,31
1994-09,M4_beta_ln_size,ln_size,-0.1049539303,31
1994-09,M5_beta_ln_be_me,intercept,-0.6266512302,31
1994-09,M5_beta_ln_be_me,beta,0.0108731971,31
1994-09,M5_beta_ln_be_me,ln_be_me,0.1216532444,31
1994-09,M6_ln_size_ln_be_me,intercept,0.4466245030,180
1994-09,M6_ln_size_ln_be_me,ln_size,-0.0549818066,180
1994-09,M6_ln_size_ln_be_me,ln_be_me,0.0659806940,180
1994-09,M7_all3,intercept,0.8623447463,31
1994-09,M7_all3,beta,-0.0050165717,31
1994-09,M7_all3,ln_size,-0.1156168081,31
1994-09,M7_all3,ln_be_me,0.1336940554,31
1994-10,M1_beta,intercept,-0.2170187272,31
1994-10,M1_beta,beta,0.0143550771,31
1994-10,M2_ln_size,intercept,0.0227922057,270
1994-10,M2_ln_size,ln_size,-0.0158474354,270
1994-10,M3_ln_be_me,intercept,-0.1096098148,180
1994-10,M3_ln_be_me,ln_be_me,-0.0135904432,180
1994-10,M4_beta_ln_size,intercept,0.2313059726,31
1994-10,M4_beta_ln_size,beta,0.0099852326,31
1994-10,M4_beta_ln_size,ln_size,-0.0331810347,31
1994-10,M5_beta_ln_be_me,intercept,-0.2577293998,31
1994-10,M5_beta_ln_be_me,beta,0.0139859222,31
1994-10,M5_beta_ln_be_me,ln_be_me,0.0067004625,31
1994-10,M6_ln_size_ln_be_me,intercept,0.1085953895,180
1994-10,M6_ln_size_ln_be_me,ln_size,-0.0155128225,180
