Trdmnt,UMD,winner_ret,loser_ret,J,K,skip
2008-07,-0.022201326739009458,0.06568087297508747,0.08788219971409693,12,3,1
2008-08,-0.03262564466318804,-0.203946800254993,-0.17132115559180497,12,3,1
2008-09,-0.026860196346677884,-0.08089824914398827,-0.05403805279731039,12,3,1
2008-10,0.0174281136448296,-0.24937184303415932,-0.2667999566789889,12,3,1
2008-11,-0.0725118312240409,0.1297969538557818,0.2023087850798227,12,3,1
2008-12,-0.005606108939020846,0.034540308470679584,0.04014641740970043,12,3,1
2009-01,-0.048395883038254414,0.10667013680025263,0.15506601983850704,12,3,1
2009-02,-0.042565629620333126,0.053326457180280326,0.09589208680061345,12,3,1
2009-03,-0.06590887528437123,0.1676735768845961,0.23358245216896734,12,3,1
2009-04,-0.02242914079925175,0.05644074611678582,0.07886988691603757,12,3,1
2009-05,-0.04926457291134008,0.04055511693874679,0.08981968985008687,12,3,1
2009-06,-0.04038981031633786,0.06852017952157062,0.10890998983790848,12,3,1
2009-07,-0.04266668894941003,0.12337494270392763,0.16604163165333766,12,3,1
2009-08,-0.00885726097451181,-0.1825356689681929,-0.1736784079936811,12,3,1
2009-09,0.026359154051076354,0.05606235556455989,0.02970320151348354,12,3,1
2009-10,0.039551385235216244,0.13093589183072685,0.0913845065955106,12,3,1
2009-11,0.0021697015993197982,0.11785717591661361,0.11568747431729381,12,3,1
2009-12,-0.03262432283617492,0.00991862711631003,0.04254294995248495,12,3,1
2010-01,-0.02393013204013631,-0.0692450785821555,-0.045314946542019195,12,3,1
2010-02,0.019198798080858184,0.06102588560266364,0.04182708752180546,12,3,1
2010-03,0.006306699197370296,0.03692393547229373,0.030617236274923434,12,3,1
2010-04,0.008689084073461542,-0.06412884314802905,-0.0728179272214906,12,3,1
2010-05,0.03239800956324676,-0.06772626559721165,-0.10012427516045841,12,3,1
2010-06,-0.02159902608144594,-0.10058264898498807,-0.07898362290354213,12,3,1
2010-07,-0.001393447066758341,0.1419580011747334,0.14335144824149174,12,3,1
2010-08,0.08033466970294595,0.11546324783638803,0.035128578133442084,12,3,1
2010-09,0.02982296159069217,0.03750104279287628,0.007678081202184107,12,3,1
2010-10,-0.028949578841991078,0.08191239154103785,0.11086197038302893,12,3,1
2010-11,0.06658041100135849,0.02327379474604916,-0.04330661625530933,12,3,1
2010-12,-0.015262358546065925,-0.027187970122420944,-0.011925611576355018,12,3,1
2011-01,-0.0635725388528201,-0.07031023104676543,-0.0067376921939453285,12,3,1
2011-02,0.040392236661651024,0.10606269710241432,0.0656704604407633,12,3,1
2011-03,-0.04876629523027562,-0.023910785045453794,0.024855510184821822,12,3,1
2011-04,-0.029185957717576518,-0.03960435029559564,-0.010418392578019126,12,3,1
2011-05,-0.0091144017955464,-0.07018692649375306,-0.06107252469820666,12,3,1
2011-06,0.04051201265388445,0.056638808538418954,0.01612679588453451,12,3,1
2011-07,0.022119653922147244,0.01303998230524943,-0.009079671616897813,12,3,1
2011-08,-0.00721047469508896,-0.044461839343612815,-0.037251364648523855,12,3,1
2011-09,-0.03952726011441417,-0.12998851974582482,-0.09046125963141065,12,3,1
2011-10,-0.016261623846617806,0.033521234686972504,0.04978285853359031,12,3,1
2011-11,0.0030059597267425714,-0.04477544369309931,-0.047781403419841884,12,3,1
2011-12,0.022424762752385197,-0.11624105953422564,-0.13866582228661084,12,3,1
2012-01,-0.012993967513792833,0.018898612221915193,0.031892579735708027,12,3,1
2012-02,-0.04332804663336244,0.08918584562447775,0.1325138922578402,12,3,1
2012-03,0.0278290775946615,-0.06149309669766045,-0.08932217429232195,12,3,1
2012-04,-0.03307410015090188,0.05671676027673006,0.08979086042763194,12,3,1
2012-05,-0.007669818845727823,0.005026922768945959,0.012696741614673782,12,3,1
2012-06,0.03430264705783435,-0.04987316927356595,-0.0841758163314003,12,3,1
2012-07,0.03602736505383389,-0.06407278936267456,-0.10010015441650845,12,3,1
2012-08,-0.0025936729460939636,0.0017047305030849485,0.004298403449178912,12,3,1
2012-09,-0.016996895100541774,0.011812671380235989,0.028809566480777763,12,3,1
2012-10,0.0038274557318783886,-0.0007129870148295486,-0.004540442746707937,12,3,1
2012-11,0.020350684703278235,-0.08405104625119181,-0.10440173095447004,12,3,1
2012-12,-0.019272018628739035,0.15197142238303665,0.1712434410117757,12,3,1
2013-01,-0.007929666124268805,0.05653702979628279,0.0644666959205516,12,3,1
2013-02,-0.002779259717279485,0.019145361888331793,0.021924621605611278,12,3,1
2013-03,0.01683212621869984,-0.03447263898658136,-0.0513047652052812,12,3,1
2013-04,0.023470956267404145,-0.020359155449441346,-0.04383011171684549,12,3,1
2013-05,0.007017786530045048,0.11916210213301776,0.11214431560297271,12,3,1
2013-06,0.03383249536857863,-0.14732264748327795,-0.18115514285185658,12,3,1
2013-07,0.0246987134434817,0.05660142548362968,0.03190271204014798,12,3,1
2013-08,-0.050863237762606296,0.05259181032905417,0.10345504809166046,12,3,1
2013-09,0.038542930185816615,0.06378505047459268,0.025242120288776065,12,3,1
2013-10,-0.022154291686107275,-0.03740849481962925,-0.015254203133521972,12,3,1
2013-11,-0.0018325316708067002,0.057253986045248215,0.059086517716054915,12,3,1
2013-12,0.007229675851188,-0.03621161456545076,-0.04344129041663876,12,3,1
2014-01,0.07342118711279279,0.03157260353922907,-0.04184858357356372,12,3,1
2014-02,-0.0023926168487361545,0.023948332103740592,0.026340948952476746,12,3,1
2014-03,-0.06970646232100768,-0.059140438662673225,0.010566023658334447,12,3,1
2014-04,-0.003707436652987721,-0.014497657105169086,-0.010790220452181365,12,3,1
2014-05,0.008839770259966316,0.025453086257541224,0.016613315997574908,12,3,1
2014-06,0.014968620011356792,0.03845327471893531,0.023484654707578517,12,3,1
2014-07,-0.05360009094520752,0.05843274067226711,0.11203283161747463,12,3,1
2014-08,0.03458527946551193,0.06038293283107146,0.025797653365559527,12,3,1
2014-09,0.018366728957341677,0.125192152800611,0.10682542384326932,12,3,1
2014-10,-0.006290669016424642,0.012119873484788792,0.018410542501213434,12,3,1
2014-11,-0.051251596222113144,0.0388663589428897,0.09011795516500284,12,3,1
2014-12,-0.10380479981338303,-0.002130512109358232,0.1016742877040248,12,3,1
2015-01,0.006086524580025773,0.04915459525556869,0.04306807067554291,12,3,1
2015-02,0.004659526595617684,0.06000059958708461,0.05534107299146693,12,3,1
